
	 t=-10
-10	-0.000674617	-1.70841e-18
-10	0.00881901	-2.222e-19
-10	-0.000783944	1.97132e-19
-10	0.00401113	-8.89927e-20

	 t=-9.998
-9.998	-0.000674426	-2.9874e-18
-9.998	0.00882185	1.59444e-17
-9.998	-0.00078431	-2.47605e-19
-9.998	0.00401307	2.71962e-18

	 t=-9.996
-9.996	-0.000674236	-1.30972e-18
-9.996	0.00882469	1.03926e-17
-9.996	-0.000784676	-1.5178e-18
-9.996	0.00401501	2.11792e-18

	 t=-9.994
-9.994	-0.000674045	2.17059e-18
-9.994	0.00882753	6.74239e-18
-9.994	-0.000785043	-8.58525e-19
-9.994	0.00401695	7.93884e-20

	 t=-9.992
-9.992	-0.000673854	-6.18093e-18
-9.992	0.00883037	1.36467e-17
-9.992	-0.00078541	2.09821e-19
-9.992	0.00401889	4.84798e-18

	 t=-9.99
-9.99	-0.000673662	-8.07958e-18
-9.99	0.00883321	2.96563e-18
-9.99	-0.000785776	-1.36999e-19
-9.99	0.00402084	5.0126e-19

	 t=-9.988
-9.988	-0.00067347	4.21788e-18
-9.988	0.00883606	1.80378e-18
-9.988	-0.000786144	3.07899e-19
-9.988	0.00402278	1.79116e-18

	 t=-9.986
-9.986	-0.000673278	9.05787e-19
-9.986	0.0088389	3.37026e-18
-9.986	-0.000786511	3.6512e-19
-9.986	0.00402473	4.10317e-19

	 t=-9.984
-9.984	-0.000673086	-3.18639e-18
-9.984	0.00884175	7.47347e-18
-9.984	-0.000786879	9.61503e-19
-9.984	0.00402668	-3.30879e-18

	 t=-9.982
-9.982	-0.000672893	-1.81843e-18
-9.982	0.0088446	3.05778e-18
-9.982	-0.000787247	-2.04861e-18
-9.982	0.00402863	3.98749e-18

	 t=-9.98
-9.98	-0.0006727	2.37819e-18
-9.98	0.00884745	9.53058e-19
-9.98	-0.000787615	8.99422e-19
-9.98	0.00403058	1.86736e-19

	 t=-9.978
-9.978	-0.000672507	-2.96283e-18
-9.978	0.0088503	5.8405e-18
-9.978	-0.000787983	-5.18241e-19
-9.978	0.00403253	4.53837e-18

	 t=-9.976
-9.976	-0.000672314	-5.15155e-18
-9.976	0.00885315	-8.94303e-19
-9.976	-0.000788352	1.39905e-18
-9.976	0.00403448	1.36203e-18

	 t=-9.974
-9.974	-0.00067212	5.00824e-19
-9.974	0.00885601	1.08558e-17
-9.974	-0.000788721	-2.32066e-19
-9.974	0.00403644	-8.17852e-19

	 t=-9.972
-9.972	-0.000671926	6.60227e-19
-9.972	0.00885886	1.22698e-17
-9.972	-0.00078909	-2.33032e-19
-9.972	0.00403839	-1.65994e-18

	 t=-9.97
-9.97	-0.000671732	3.1434e-18
-9.97	0.00886172	-2.68378e-18
-9.97	-0.000789459	-5.1635e-19
-9.97	0.00404035	-2.95705e-20

	 t=-9.968
-9.968	-0.000671537	-1.79269e-18
-9.968	0.00886458	-3.77063e-20
-9.968	-0.000789829	-1.14967e-18
-9.968	0.00404231	7.44654e-18

	 t=-9.966
-9.966	-0.000671343	4.11221e-18
-9.966	0.00886744	4.07845e-18
-9.966	-0.000790198	-5.18497e-19
-9.966	0.00404427	-1.47417e-19

	 t=-9.964
-9.964	-0.000671147	-3.46176e-18
-9.964	0.0088703	1.37945e-17
-9.964	-0.000790568	2.88576e-19
-9.964	0.00404623	-1.36069e-18

	 t=-9.962
-9.962	-0.000670952	-8.81231e-19
-9.962	0.00887316	6.86781e-18
-9.962	-0.000790939	-2.58714e-20
-9.962	0.00404819	1.52723e-18

	 t=-9.96
-9.96	-0.000670756	5.39018e-18
-9.96	0.00887603	5.31839e-18
-9.96	-0.000791309	-7.82875e-19
-9.96	0.00405016	3.47232e-19

	 t=-9.958
-9.958	-0.00067056	-8.71896e-18
-9.958	0.00887889	4.30543e-18
-9.958	-0.00079168	2.65091e-21
-9.958	0.00405212	2.80621e-20

	 t=-9.956
-9.956	-0.000670364	6.77651e-18
-9.956	0.00888176	5.39097e-18
-9.956	-0.000792051	1.3167e-18
-9.956	0.00405409	3.9403e-19

	 t=-9.954
-9.954	-0.000670168	-1.6688e-18
-9.954	0.00888463	2.95685e-18
-9.954	-0.000792422	-9.50672e-20
-9.954	0.00405605	4.13432e-19

	 t=-9.952
-9.952	-0.000669971	-6.55137e-18
-9.952	0.0088875	7.3273e-18
-9.952	-0.000792793	-1.55606e-18
-9.952	0.00405802	-5.38444e-19

	 t=-9.95
-9.95	-0.000669774	2.26729e-18
-9.95	0.00889037	1.72886e-17
-9.95	-0.000793165	-7.67598e-19
-9.95	0.00405999	1.47887e-18

	 t=-9.948
-9.948	-0.000669577	8.84267e-18
-9.948	0.00889324	1.30796e-17
-9.948	-0.000793537	1.21675e-19
-9.948	0.00406196	-7.90362e-20

	 t=-9.946
-9.946	-0.000669379	-1.33367e-18
-9.946	0.00889612	9.05099e-18
-9.946	-0.000793909	-2.09085e-18
-9.946	0.00406394	2.24897e-18

	 t=-9.944
-9.944	-0.000669181	3.99924e-18
-9.944	0.00889899	2.49276e-18
-9.944	-0.000794281	2.81548e-19
-9.944	0.00406591	-2.47927e-18

	 t=-9.942
-9.942	-0.000668983	-2.47999e-20
-9.942	0.00890187	1.25917e-17
-9.942	-0.000794654	7.76359e-19
-9.942	0.00406788	4.03062e-19

	 t=-9.94
-9.94	-0.000668784	8.34102e-18
-9.94	0.00890475	5.40369e-18
