Partial Chi > 12
n 	 type[n] 	 x[n] 	 val[n] 	 nFv 	 chi2 
   12   9       -2.97       0.615    0.760622     16.5458
   13   9        -2.5      0.6923    0.820834     491.109
   19   9       -1.48       0.798    0.951886     15.6494
   20   9        -1.3       0.858    0.973309     31.3325
   21   9       -1.18       0.883    0.986833     21.8761
   23   9          -1       0.879     1.00549     24.4131
   24   9        -0.8       0.901     1.02288     99.8012
   25   9       -0.79       0.951     1.02363     21.6739
   26   9      -0.695      0.9122        1.03      103.13
   27   9      -0.599      0.9084     1.03488     116.869
   29   9      -0.547      0.9274     1.03674     147.597
   33   9      -0.494      0.9286     1.03797     138.292
   35   9      -0.474      0.9225     1.03824     32.1863
   36   9      -0.449      0.9314     1.03841     129.601
   40   9      -0.402      0.9318     1.03822      111.03
   42   9        -0.4      0.9172      1.0382     64.2127
   46   9      -0.346      0.9318     1.03702     51.9424
   47   9      -0.346      0.9433     1.03702     53.6142
   48   9      -0.345       0.973     1.03699     13.8418
   49   9      -0.308       0.932     1.03554     36.6595
   50   9      -0.298      0.9272     1.03505      64.774
   51   9      -0.282       0.973     1.03418     14.0856
   56   9      -0.215       0.825     1.02927     16.1061
Chi2: 1954.1
